Trade Date,Symbol,Series,Security Name,Category,Last Trade Date,Face Value(Rs.),Issue Size,Close Price/Paid up value(Rs.),Market Cap(Rs.)              
18 DEC 2025,20MICRONS,EQ,20 MICRONS LTD           ,Listed    ,18 DEC 2025,               5.00,          35286502,            191.20,     6747132047.40 
18 DEC 2025,21STCENMGM,EQ,21ST CENTURY MGMT SERVICE,Listed    ,18 DEC 2025,              10.00,          10500000,             48.55,      509775000.00
18 DEC 2025,360ONE,EQ,360 ONE WAM LIMITED      ,Listed    ,18 DEC 2025,               1.00,         404688480,           1143.20,   462639870336.00    
18 DEC 2025,3IINFOLTD,EQ,3I INFOTECH LIMITED      ,Listed    ,18 DEC 2025,              10.00,         207382685,             15.70,     3257981981.35 
18 DEC 2025,3MINDIA,EQ,3M INDIA LIMITED         ,Listed    ,18 DEC 2025,              10.00,          11265070,          35015.00,   394446426050.00   
18 DEC 2025,3PLAND,EQ,3P LAND HOLDINGS LIMITED ,Listed    ,18 DEC 2025,               2.00,          18000000,             37.55,      676260000.00    
18 DEC 2025,5PAISA,EQ,5PAISA CAPITAL LIMITED   ,Listed    ,18 DEC 2025,              10.00,          31242338,            308.25,     9630450688.50    
18 DEC 2025,63MOONS,EQ,63 MOONS TECHNOLOGIES LTD,Listed    ,18 DEC 2025,               2.00,          46078537,            730.65,    33667283059.05   
18 DEC 2025,A2ZINFRA,EQ,A2Z INFRA ENGINEERING LTD,Listed    ,18 DEC 2025,              10.00,         176119858,             13.95,     2460394416.25  
18 DEC 2025,AAATECH,BE,AAA TECHNOLOGIES LIMITED ,Listed    ,18 DEC 2025,              10.00,          12826800,             99.90,     1281140784.00   
18 DEC 2025,AADHARHFC,EQ,AADHAR HOUSING FINANCE L ,Listed    ,18 DEC 2025,              10.00,         433092732,            480.45,   208079403089.40 
18 DEC 2025,AAKAAR,SM,AAKAAR MEDICAL TECHNO LTD,Listed    ,17 DEC 2025,              10.00,          14172816,             74.80,     1060126636.80    
18 DEC 2025,AAKASH,EQ,AAKASH EXPLORATION SER L ,Listed    ,18 DEC 2025,               1.00,         101250000,              8.80,      888975000.00    
18 DEC 2025,AARADHYA,ST,AARADHYA DISPOSAL INDUS L,Listed    ,18 DEC 2025,              10.00,          14138000,            129.60,     1832284800.00  
18 DEC 2025,AAREYDRUGS,EQ,AAREY DRUGS & PHARM LTD  ,Listed    ,18 DEC 2025,              10.00,          28354303,             66.35,     1881024461.00
18 DEC 2025,AARON,EQ,AARON INDUSTRIES LIMITED ,Listed    ,18 DEC 2025,              10.00,          20946478,            177.15,     3710878042.50     
18 DEC 2025,AARTECH,EQ,AARTECH SOLONICS LIMITED ,Listed    ,18 DEC 2025,               5.00,          31770376,             47.25,     1500514858.50   
18 DEC 2025,AARTIDRUGS,EQ,AARTI DRUGS LTD.         ,Listed    ,18 DEC 2025,              10.00,          91270000,            380.00,    34682600000.00
