SECURITY,PREV_CL_PR,CLOSE_PRIC,NET_TRDQTY,NET_TRDVAL
MEESHO LIMITED,       216.34,       235.57,298723540,              66562397640.91
SWIGGY LIMITED,       398.95,       410.70,68636561,              28052423295.70
INTERGLOBE AVIATION LTD,      4980.50,      5115.50,4260902,              21582458071.50
HDFC BANK LTD,       984.00,       979.70,14912404,              14636196743.00
BSE LIMITED,      2630.50,      2682.90,4500860,              12042482015.80
HINDUSTAN COPPER LTD,       368.20,       387.45,29335396,              11254281994.60
SHRIRAM FINANCE LIMITED,       864.20,       869.45,12481529,              10869818054.50
INFOSYS LIMITED,      1602.00,      1626.80,6577293,              10679409219.40
SHAKTI PUMPS (I) LTD,       707.40,       725.60,14201039,              10314682526.45
RELIANCE INDUSTRIES LTD,      1544.40,      1544.40,6580829,              10169353778.00
VODAFONE IDEA LIMITED,        11.13,        11.30,889444084,              10038145882.29
ICICI BANK LTD.,      1352.40,      1356.80,7314573,               9948607088.40
NIPPONAMC - NETFSILVER,       192.16,       193.26,50463772,               9778300577.16
KAYNES TECHNOLOGY IND LTD,      4093.50,      4046.50,2276540,               9258769253.00
HINDUSTAN ZINC LIMITED,       578.30,       592.15,15414612,               9073132719.05
MAHINDRA & MAHINDRA LTD,      3612.80,      3586.60,2446168,               8729793973.50
VEDANTA LIMITED,       569.80,       579.15,14766995,               8515761266.70
HBL ENGINEERING LTD,       762.80,       818.85,10043498,               8132428739.30
BHARTI AIRTEL LIMITED,      2108.00,      2092.00,3760341,               7898569012.90
HDFC AMC LIMITED,      2541.20,      2722.90,2915803,               7849169018.30
WALCHANDNAGAR INDUSTRIES,       174.46,       197.53,39483014,               7766536807.71
NIPPON L I A M LTD,       865.05,       915.65,8464597,               7707121298.75
TATA CONSULTANCY SERV LT,      3217.80,      3280.80,2307422,               7523225819.80
TATA MOTORS LIMITED,       386.90,       401.05,18688147,               7478780124.75
ROUTE MOBILE LIMITED,       680.50,       729.90,9795381,               7302605863.20
