GAIN_LOSS,SECURITY,CLOSE_PRIC,PREV_CL_PR,PERCENT_CG
 ,Nifty 50 Sec., , , 
 , , , , 
G,TITAN COMPANY LIMITED,      3929.50,      3866.20,1.64
G,BHARTI AIRTEL LIMITED,      2102.00,      2069.70,1.56
G,TATA CONSUMER PRODUCT LTD,      1169.90,      1157.40,1.08
G,BAJAJ AUTO LIMITED,      9008.00,      8940.00,0.76
G,ASIAN PAINTS LIMITED,      2790.90,      2780.20,0.38
G,MAHINDRA & MAHINDRA LTD,      3621.00,      3608.00,0.36
G,TECH MAHINDRA LIMITED,      1578.20,      1575.40,0.18
G,INTERGLOBE AVIATION LTD,      4974.00,      4965.50,0.17
G,ICICI BANK LTD.,      1366.00,      1365.20,0.06
G,SBI LIFE INSURANCE CO LTD,      2036.00,      2034.90,0.05
G,KOTAK MAHINDRA BANK LTD,      2182.40,      2181.30,0.05
 , , , , 
L,AXIS BANK LIMITED,      1219.60,      1284.80,-5.07
L,ETERNAL LIMITED,       284.45,       298.45,-4.69
L,JSW STEEL LIMITED,      1082.60,      1114.80,-2.89
L,HCL TECHNOLOGIES LTD,      1651.70,      1684.00,-1.92
L,TATA STEEL LIMITED,       169.83,       172.87,-1.76
L,ULTRATECH CEMENT LIMITED,     11528.00,     11728.00,-1.71
L,BAJAJ FINSERV LTD.,      2035.20,      2070.50,-1.70
L,JIO FIN SERVICES LTD,       295.25,       299.60,-1.45
L,BAJAJ FINANCE LIMITED,       998.40,      1012.70,-1.41
L,ADANI ENTERPRISES LIMITED,      2247.90,      2278.90,-1.36
L,OIL AND NATURAL GAS CORP.,       232.21,       235.35,-1.33
L,HINDALCO  INDUSTRIES  LTD,       837.15,       847.85,-1.26
L,MAX HEALTHCARE INS LTD,      1073.00,      1085.40,-1.14
L,HDFC LIFE INS CO LTD,       764.35,       772.70,-1.08
L,WIPRO LTD,       259.22,       261.74,-0.96
L,NTPC LTD,       321.00,       323.95,-0.91
L,ADANI PORT & SEZ LTD,      1499.00,      1512.60,-0.90
L,RELIANCE INDUSTRIES LTD,      1542.30,      1556.20,-0.89
L,SUN PHARMACEUTICAL IND L,      1781.30,      1797.10,-0.88
L,INFOSYS LIMITED,      1592.90,      1606.80,-0.87
L,EICHER MOTORS LTD,      7061.50,      7121.50,-0.84
L,SHRIRAM FINANCE LIMITED,       848.40,       855.35,-0.81
L,TATA CONSULTANCY SERV LT,      3205.10,      3230.20,-0.78
L,GRASIM INDUSTRIES LTD,      2799.10,      2821.00,-0.78
L,COAL INDIA LTD,       381.60,       384.45,-0.74
L,POWER GRID CORP. LTD.,       260.35,       262.20,-0.71
L,BHARAT ELECTRONICS LTD,       388.00,       390.75,-0.70
L,LARSEN & TOUBRO LTD.,      4063.80,      4092.30,-0.70
L,STATE BANK OF INDIA,       961.15,       967.25,-0.63
L,CIPLA LTD,      1499.60,      1508.00,-0.56
L,HINDUSTAN UNILEVER LTD.,      2281.10,      2293.50,-0.54
L,APOLLO HOSPITALS ENTER. L,      7051.50,      7086.50,-0.49
L,TATA MOTORS PASS VEH LTD,       345.45,       347.15,-0.49
L,MARUTI SUZUKI INDIA LTD.,     16354.00,     16415.00,-0.37
L,DR. REDDY S LABORATORIES,      1276.90,      1280.60,-0.29
L,NESTLE INDIA LIMITED,      1240.60,      1243.50,-0.23
L,HDFC BANK LTD,       994.30,       996.10,-0.18
L,ITC LTD,       401.70,       402.30,-0.15
L,TRENT LTD,      4108.70,      4109.00,-0.01
 , , , , 
 ,Nifty Next 50 Sec., , , 
 , , , , 
G,VEDANTA LIMITED,       569.50,       549.40,3.66
G,GODREJ CONSUMER PRODUCTS,      1182.40,      1166.10,1.40
G,SIEMENS ENERGY INDIA LTD,      2979.80,      2945.60,1.16
G,AVENUE SUPERMARTS LIMITED,      3856.80,      3825.60,0.82
G,ADANI POWER LTD,       145.33,       144.38,0.66
G,UNITED SPIRITS LIMITED,      1451.40,      1442.40,0.62
G,BRITANNIA INDUSTRIES LTD,      6066.00,      6038.00,0.46
G,CG POWER AND IND SOL LTD,       673.05,       670.15,0.43
G,BHARAT PETROLEUM CORP  LT,       368.15,       367.00,0.31
G,SIEMENS LTD,      3161.40,      3157.80,0.11
G,BAJAJ HOLDINGS & INVS LTD,     11068.00,     11062.00,0.05
 , , , , 
L,SHREE CEMENT LIMITED,     25990.00,     26625.00,-2.38
L,SOLAR INDUSTRIES (I) LTD,     11918.00,     12196.00,-2.28
L,JINDAL STEEL LIMITED,      1011.20,      1034.00,-2.21
L,ADANI ENERGY SOLUTION LTD,       994.30,      1016.45,-2.18
L,REC LIMITED,       335.40,       342.50,-2.07
L,ADANI GREEN ENERGY LTD,      1028.20,      1047.60,-1.85
