"Disclaimer - The Data provided in the adjusted 52 week high and adjusted 52 week low columns  are adjusted for corporate actions (bonus, splits & rights).For actual (unadjusted) 52 week high & low prices, kindly refer bhavcopy."
"Effective for 16-Dec-2025"
"SYMBOL","SERIES","Adjusted_52_Week_High","52_Week_High_Date","Adjusted_52_Week_Low","52_Week_Low_DT"
"20MICRONS","EQ","    283.93","23-JUL-2025","    158.20","12-FEB-2025"
"21STCENMGM","EQ","     94.75","06-JAN-2025","     36.03","27-NOV-2025"
"360ONE","EQ","   1318.00","06-JAN-2025","    790.50","07-APR-2025"
"3IINFOLTD","EQ","     32.91","02-JAN-2025","     15.60","09-DEC-2025"
"3MINDIA","EQ","  37000.00","06-NOV-2025","  25718.15","03-MAR-2025"
"3PLAND","EQ","     82.06","18-DEC-2024","     34.05","26-NOV-2025"
"5PAISA","EQ","    501.85","16-DEC-2024","    287.65","14-NOV-2025"
"63MOONS","EQ","   1130.00","17-JUL-2025","    591.25","18-FEB-2025"
"A2ZINFRA","EQ","     26.80","03-JAN-2025","     12.35","11-APR-2025"
"AAATECH","BE","    136.00","07-OCT-2025","     66.00","18-MAR-2025"
"AADHARHFC","EQ","    547.80","24-SEP-2025","    346.05","28-JAN-2025"
"AAKAAR","SM","    105.00","21-JUL-2025","     62.00","03-JUL-2025"
"AAKASH","EQ","     13.79","24-JUN-2025","      7.06","03-JUN-2025"
"AARADHYA","ST","    182.00","13-OCT-2025","     97.50","08-SEP-2025"
"AAREYDRUGS","EQ","    100.00","06-NOV-2025","     31.35","18-MAR-2025"
"AARON","EQ","    258.00","25-AUG-2025","    152.48","18-FEB-2025"
"AARTECH","EQ","    105.39","08-JAN-2025","     48.01","25-NOV-2025"
"AARTIDRUGS","EQ","    564.05","21-JUL-2025","    312.00","07-APR-2025"
"AARTIIND","EQ","    495.00","28-MAY-2025","    344.20","07-APR-2025"
"AARTIPHARM","EQ","    971.00","16-JUL-2025","    557.05","19-DEC-2024"
"AARTISURF","EQ","    674.50","16-DEC-2024","    385.50","09-DEC-2025"
"AARVI","EQ","    152.00","17-NOV-2025","     88.00","07-APR-2025"
"AATMAJ","SM","     27.00","17-DEC-2024","     14.50","28-MAR-2025"
"AAVAS","EQ","   2234.00","22-APR-2025","   1450.00","05-DEC-2025"
"ABAN","BE","     70.00","16-DEC-2024","     28.92","15-DEC-2025"
"ABB","EQ","   7960.00","17-DEC-2024","   4684.45","07-APR-2025"
"ABBOTINDIA","EQ","  37000.00","27-JUN-2025","  25325.00","29-JAN-2025"
"ABCAPITAL","EQ","    368.95","10-DEC-2025","    149.01","17-FEB-2025"
"ABCOTS","EQ","    505.50","01-FEB-2025","    370.10","01-SEP-2025"
"ABDL","EQ","    696.80","04-NOV-2025","    279.00","07-APR-2025"
"ABFRL","EQ","    303.15","16-DEC-2024","     70.55","13-JUN-2025"
"ABGSEC","EQ","    113.03","21-JUL-2025","    102.76","19-DEC-2024"
"ABGSECINAV","EQ","-","-","-","-"
"ABHAPOWER","SM","     60.90","18-DEC-2024","     26.45","27-MAR-2025"
"ABINFRA","EQ","     22.50","08-SEP-2025","      6.16","18-FEB-2025"
"ABLBL","EQ","    175.00","23-JUN-2025","    124.50","24-NOV-2025"
"ABMINTLLTD","EQ","     78.21","02-JUL-2025","     37.01","01-OCT-2025"
"ABREL","EQ","   2835.35","16-DEC-2024","   1562.60","06-OCT-2025"
"ABSLAMC","EQ","    908.00","20-AUG-2025","    556.45","07-APR-2025"
"ABSLBAINAV","EQ","-","-","-","-"
"ABSLBANETF","EQ","     62.22","10-DEC-2025","     47.55","18-MAR-2025"
"ABSLLIQUID","EQ","   1030.00","17-JAN-2025","    999.99","15-DEC-2025"
"ABSLLQINAV","EQ","-","-","-","-"
"ABSLNN50ET","EQ","     76.11","16-DEC-2024","     58.37","03-MAR-2025"
"ABSLNNINAV","EQ","-","-","-","-"
"ABSLPSE","EQ","     10.90","07-JUL-2025","      8.00","07-APR-2025"
"ABSMARINE","SM","    259.00","13-NOV-2025","     92.10","27-MAR-2025"
"ABSPSEINAV","EQ","-","-","-","-"
"ACC","EQ","   2268.90","16-DEC-2024","   1770.00","12-DEC-2025"
"ACCELYA","EQ","   1600.00","16-DEC-2024","   1218.50","07-APR-2025"
"ACCENTMIC","SM","    362.00","11-DEC-2025","    169.81","03-APR-2025"
"ACCORD","SM","     29.00","24-DEC-2024","     17.50","27-MAR-2025"
"ACCPL","ST","    102.50","01-DEC-2025","     53.80","14-OCT-2025"
"ACCURACY","EQ","     11.70","17-DEC-2024","      5.10","18-NOV-2025"
"ACE","EQ","   1600.00","01-JAN-2025","    909.00","09-DEC-2025"
"ACEINTEG","EQ","     33.72","17-DEC-2024","     20.00","19-FEB-2025"
"ACI","EQ","    727.60","13-AUG-2025","    408.35","17-FEB-2025"
"ACL","EQ","    109.99","08-SEP-2025","     48.15","28-MAR-2025"
"ACMESOLAR","EQ","    324.30","15-SEP-2025","    167.75","28-JAN-2025"
"ACTIVEINFR","SM","    190.00","09-OCT-2025","    147.05","28-APR-2025"
"ACUTAAS","EQ","   2644.00","05-FEB-2025","   1040.50","28-APR-2025"
"ADANIENPP","EQ","-","-","-","-"
"ADANIENSOL","EQ","   1050.00","14-NOV-2025","    639.45","03-MAR-2025"
"ADANIENT","EQ","   2616.50","23-SEP-2025","   1967.52","03-MAR-2025"
"ADANIGREEN","EQ","   1210.50","16-DEC-2024","    758.00","03-MAR-2025"
"ADANIPORTS","EQ","   1549.00","01-DEC-2025","   1010.75","30-JAN-2025"
"ADANIPOWER","EQ","    182.70","23-SEP-2025","     89.00","13-JAN-2025"
"ADFFOODS","EQ","    353.95","16-DEC-2024","    196.06","09-DEC-2025"
"ADL","EQ","    121.77","17-APR-2025","     62.00","10-MAR-2025"
"ADOR","EQ","   1260.00","16-OCT-2025","    788.00","07-APR-2025"
"ADROITINFO","EQ","     21.69","18-DEC-2024","      9.56","26-SEP-2025"
"ADSL","EQ","    286.74","06-FEB-2025","    147.61","04-AUG-2025"
"ADVANCE","EQ","    154.00","27-OCT-2025","    102.00","10-OCT-2025"
"ADVANIHOTR","EQ","     74.31","17-DEC-2024","     52.29","04-MAR-2025"
"ADVENTHTL","EQ","    345.05","14-NOV-2025","    190.17","09-DEC-2025"
"ADVENZYMES","EQ","    388.80","16-DEC-2024","    257.90","03-MAR-2025"
"AEGISLOG","EQ","   1037.00","08-JAN-2025","    609.85","28-JAN-2025"
"AEGISVOPAK","EQ","    302.00","18-JUL-2025","    220.00","02-JUN-2025"
"AEQUS","EQ","    160.65","11-DEC-2025","    135.40","10-DEC-2025"
"AEROENTER","EQ","    124.40","17-JAN-2025","     72.14","07-APR-2025"
"AEROFLEX","EQ","    272.00","06-FEB-2025","    148.01","07-APR-2025"
"AERON","SM","    202.20","30-DEC-2024","     89.05","08-DEC-2025"
"AERONEU","EQ","    125.37","10-SEP-2025","     67.00","18-FEB-2025"
"AESTHETIK","SM","    155.60","25-SEP-2025","     60.00","07-FEB-2025"
"AETHER","EQ","    938.50","12-MAR-2025","    725.00","21-MAY-2025"
"AFCONS","EQ","    570.00","03-JAN-2025","    381.70","09-DEC-2025"
"AFFLE","EQ","   2185.90","22-SEP-2025","   1246.00","07-APR-2025"
"AFFORDABLE","EQ","    697.00","23-DEC-2024","    204.00","09-DEC-2025"
"AFIL","EQ","     10.65","16-DEC-2024","      6.42","01-APR-2025"
"AFSL","EQ","    315.15","16-DEC-2024","    165.49","03-FEB-2025"
"AGARIND","EQ","   1380.00","20-DEC-2024","    667.85","09-DEC-2025"
"AGARWALEYE","EQ","    568.00","16-OCT-2025","    327.00","30-MAY-2025"
"AGARWALFT","SM","     73.00","02-JAN-2025","     38.00","11-DEC-2025"
"AGARWALTUF","SM","    174.05","24-SEP-2025","     81.00","04-MAR-2025"
"AGI","EQ","   1307.90","20-DEC-2024","    599.10","03-MAR-2025"
"AGIIL","EQ","    298.80","10-OCT-2025","    137.00","07-APR-2025"
"AGNI","SM","     48.25","16-DEC-2024","     17.90","28-MAR-2025"
"AGRITECH","EQ","    227.12","27-DEC-2024","    103.25","25-NOV-2025"
"AGROPHOS","EQ","     47.60","31-JUL-2025","     27.20","03-MAR-2025"
"AGSTRA","BZ","     82.34","17-DEC-2024","      3.78","12-MAY-2025"
"AGUL","SM","     70.50","11-SEP-2025","     37.30","08-MAY-2025"
"AHCL","BE","    172.75","28-NOV-2025","     90.78","03-SEP-2025"
"AHIMSA","ST","     74.60","07-JAN-2025","     22.10","13-MAR-2025"
"AHLADA","EQ","    105.69","17-DEC-2024","     45.85","08-DEC-2025"
"AHLEAST","EQ","    181.89","03-JAN-2025","    122.78","07-APR-2025"
"AHLUCONT","EQ","   1135.50","17-DEC-2024","    620.00","18-FEB-2025"
"AIAENG","EQ","   3920.00","01-DEC-2025","   3001.10","28-AUG-2025"
"AIIL","EQ","   3318.70","13-OCT-2025","   1325.50","28-FEB-2025"
"AILIMITED","SM","     90.90","02-MAY-2025","     36.70","08-OCT-2025"
"AIMTRON","ST","   1040.00","21-NOV-2025","    358.00","07-APR-2025"
"AIRAN","EQ","     40.50","16-DEC-2024","     17.12","09-DEC-2025"
"AIROLAM","EQ","    150.00","18-DEC-2024","     83.50","07-MAY-2025"
"AISL","SM","    189.90","31-DEC-2024","     77.00","01-SEP-2025"
"AJANTPHARM","EQ","   3115.90","27-DEC-2024","   2327.30","07-APR-2025"
"AJAXENGG","EQ","    756.20","14-MAY-2025","    549.10","07-APR-2025"
"AJMERA","EQ","   1224.90","07-JAN-2025","    681.55","03-MAR-2025"
"AJOONI","EQ","      8.55","02-JAN-2025","      4.16","19-NOV-2025"
"AKANKSHA","SM","    168.85","27-DEC-2024","     72.05","09-DEC-2025"
"AKASH","EQ","     36.45","22-JAN-2025","     23.00","07-APR-2025"
"AKG","EQ","     20.15","18-DEC-2024","     11.24","07-APR-2025"
"AKI","EQ","     16.28","18-DEC-2024","      6.56","05-DEC-2025"
"AKIKO","ST","    299.30","17-NOV-2025","     62.00","22-JUL-2025"
"AKSHAR","EQ","       .80","18-DEC-2024","       .49","05-SEP-2025"
"AKSHARCHEM","EQ","    368.10","17-DEC-2024","    195.00","27-MAR-2025"
"AKSHOPTFBR","EQ","     14.94","16-DEC-2024","      5.55","09-DEC-2025"
"AKUMS","EQ","    678.40","30-DEC-2024","    405.00","07-APR-2025"
"AKZOINDIA","EQ","   3957.90","17-JAN-2025","   3022.00","03-MAR-2025"
"ALANKIT","EQ","     23.50","03-JAN-2025","     10.38","09-DEC-2025"
"ALBERTDAVD","EQ","   1438.00","16-DEC-2024","    745.60","10-DEC-2025"
"ALCODIS","SM","    265.00","20-DEC-2024","    101.15","08-DEC-2025"
"ALEMBICLTD","EQ","    151.80","16-DEC-2024","     85.46","03-MAR-2025"
"ALICON","EQ","   1145.05","16-DEC-2024","    597.15","07-APR-2025"
"ALIVUS","EQ","   1251.00","06-FEB-2025","    847.20","08-DEC-2025"
"ALKALI","EQ","    124.75","16-DEC-2024","     74.00","07-APR-2025"
"ALKEM","EQ","   5868.00","13-NOV-2025","   4491.65","28-FEB-2025"
"ALKYLAMINE","EQ","   2438.80","07-JUL-2025","   1508.00","03-MAR-2025"
"ALLCARGO","EQ","     54.78","17-DEC-2024","     10.60","12-NOV-2025"
"ALLDIGI","EQ","   1114.40","21-JAN-2025","    800.00","09-DEC-2025"
"ALLETEC","SM","    592.00","18-DEC-2024","    213.05","08-DEC-2025"
"ALLTIME","EQ","    334.90","25-AUG-2025","    256.80","30-SEP-2025"
"ALMONDZ","EQ","     34.85","06-JAN-2025","     15.00","10-DEC-2025"
"ALOKINDS","EQ","     23.70","16-DEC-2024","     14.01","07-APR-2025"
"ALPA","EQ","    137.30","06-JAN-2025","     75.25","02-DEC-2025"
"ALPEXSOLAR","SM","   1449.70","12-AUG-2025","    495.00","18-MAR-2025"
"ALPHA","EQ","     57.18","17-DEC-2024","     39.00","07-APR-2025"
"ALPHAETF","EQ","     27.43","17-DEC-2024","     19.61","04-MAR-2025"
"ALPHAGEO","EQ","    522.80","26-DEC-2024","    215.15","09-DEC-2025"
"ALPHAINAV","EQ","-","-","-","-"
"ALPL30IETF","EQ","     29.69","31-DEC-2024","     24.00","07-APR-2025"
"ALPSINDUS","EQ","      3.24","16-DEC-2024","      1.60","07-OCT-2025"
"ALUWIND","SM","     95.80","22-SEP-2025","     48.00","07-APR-2025"
"AMANTA","EQ","    154.40","23-SEP-2025","     97.75","09-DEC-2025"
"AMBANIORGO","SM","    150.00","19-DEC-2024","     96.15","15-MAY-2025"
"AMBER","EQ","   8626.00","29-OCT-2025","   5235.00","18-FEB-2025"
"AMBEY","SM","     71.80","02-JAN-2025","     31.05","13-NOV-2025"
"AMBICAAGAR","EQ","     36.95","06-FEB-2025","     23.99","17-MAR-2025"
"AMBIKCO","EQ","   1797.00","17-DEC-2024","   1201.00","09-DEC-2025"
"AMBUJACEM","EQ","    624.95","22-JUL-2025","    455.00","03-MAR-2025"
"AMCL","ST","    369.25","13-NOV-2025","    161.70","25-AUG-2025"
"AMDIND","EQ","     68.88","06-JAN-2025","     39.85","18-MAR-2025"
"AMEYA","SM","    127.25","11-JUN-2025","     91.90","09-DEC-2025"
"AMIABLE","SM","    110.00","10-FEB-2025","     54.00","17-NOV-2025"
"AMJLAND","EQ","     76.49","17-DEC-2024","     41.87","07-APR-2025"
"AMJUMBO","SM","     14.45","18-DEC-2024","      5.75","08-JUL-2025"
"AMNPLST","EQ","    349.00","26-DEC-2024","    170.00","15-DEC-2025"
"AMRUTANJAN","EQ","    842.90","13-JAN-2025","    544.10","30-APR-2025"
"ANANDRATHI","EQ","   3321.40","14-OCT-2025","   1594.00","13-MAR-2025"
"ANANTAM","IV","    113.00","16-OCT-2025","    100.20","17-NOV-2025"
"ANANTRAJ","EQ","    947.90","08-JAN-2025","    376.15","07-APR-2025"
"ANDHRAPAP","EQ","    107.99","16-DEC-2024","     64.67","08-DEC-2025"
"ANDHRSUGAR","EQ","    100.49","03-JAN-2025","     65.10","07-APR-2025"
"ANGELONE","EQ","   3400.00","16-DEC-2024","   1941.00","13-MAR-2025"
"ANIKINDS","EQ","    133.00","04-APR-2025","     50.39","09-DEC-2025"
"ANKITMETAL","BZ","      4.99","23-DEC-2024","      1.55","07-NOV-2025"
"ANLON","SM","    497.00","11-SEP-2025","    239.00","13-MAR-2025"
"ANMOL","EQ","     29.39","16-DEC-2024","     12.90","07-NOV-2025"
"ANNAPURNA","SM","    441.00","06-JAN-2025","    208.00","09-DEC-2025"
"ANONDITA","ST","    741.85","09-DEC-2025","    261.75","01-SEP-2025"
"ANSALAPI","BZ","     11.97","16-DEC-2024","      3.31","11-DEC-2025"
"ANTELOPUS","EQ","    899.90","18-DEC-2024","    362.60","11-DEC-2025"
"ANTGRAPHIC","EQ","      1.75","16-DEC-2024","       .77","12-DEC-2025"
"ANTHEM","EQ","    873.50","18-SEP-2025","    620.00","27-NOV-2025"
"ANUHPHR","EQ","    122.85","20-DEC-2024","     74.25","28-MAR-2025"
"ANUP","EQ","   3839.00","16-DEC-2024","   2161.00","08-DEC-2025"
"ANURAS","EQ","   1335.10","10-DEC-2025","    601.00","28-FEB-2025"
"ANYA","SM","     29.05","22-MAY-2025","     16.20","13-JAN-2025"
"ANZEN","IV","    121.00","18-NOV-2025","    105.06","06-MAR-2025"
"AOGOLDINAV","EQ","-","-","-","-"
"AONE50INAV","EQ","-","-","-","-"
"AONEGOLD","EQ","     13.50","11-NOV-2025","     10.00","10-SEP-2025"
"AONELIINAV","EQ","-","-","-","-"
"AONELIQUID","EQ","   1060.00","10-JUN-2025","    908.58","26-MAY-2025"
"AONENFINAV","EQ","-","-","-","-"
"AONENIFTY","EQ","     12.00","28-MAY-2025","      9.47","17-JUL-2025"
"AONETMMQ50","EQ","     10.50","05-DEC-2025","      9.51","09-DEC-2025"
"AONETOINAV","EQ","-","-","-","-"
"AONETOTAL","EQ","     12.49","30-OCT-2025","      9.63","07-APR-2025"
"APARINDS","EQ","  11779.90","08-JAN-2025","   4308.05","07-APR-2025"
"APCL","EQ","    183.00","17-DEC-2024","     96.20","17-MAR-2025"
"APCOTEXIND","EQ","    444.00","30-JUL-2025","    286.95","17-MAR-2025"
"APEX","EQ","    350.53","24-NOV-2025","    186.55","07-APR-2025"
"APEXECO","SM","    169.00","15-JAN-2025","     73.00","17-MAR-2025"
"APLAPOLLO","EQ","   1936.00","09-JUN-2025","   1272.70","17-FEB-2025"
"APLLTD","EQ","   1123.95","06-JAN-2025","    725.20","03-MAR-2025"
"APOLLO","EQ","    354.70","17-SEP-2025","     92.55","23-DEC-2024"
"APOLLOHOSP","EQ","   8099.50","23-OCT-2025","   6001.00","03-MAR-2025"
"APOLLOPIPE","EQ","    502.90","18-DEC-2024","    277.15","09-DEC-2025"
"APOLLOTYRE","EQ","    550.45","16-DEC-2024","    370.90","03-MAR-2025"
"APOLSINHOT","EQ","   1845.00","20-DEC-2024","   1160.00","07-APR-2025"
"APRAMEYA","SM","    360.00","21-NOV-2025","     86.50","04-MAR-2025"
"APS","SM","    654.00","06-JUN-2025","    345.00","09-DEC-2025"
"APTECHT","EQ","    202.42","16-DEC-2024","     96.00","09-DEC-2025"
"APTUS","EQ","    364.00","18-AUG-2025","    267.95","28-JAN-2025"
"ARABIAN","SM","     92.95","27-JUN-2025","     63.00","28-MAR-2025"
"ARCHIDPLY","EQ","    132.00","23-DEC-2024","     79.50","28-FEB-2025"
"ARCHIES","EQ","     26.59","17-DEC-2024","     14.72","18-MAR-2025"
"ARCIIL","SM","    145.00","29-AUG-2025","     65.10","12-DEC-2025"
"ARE&M","EQ","   1310.50","17-DEC-2024","    832.30","07-APR-2025"
"ARENTERP","EQ","     70.80","17-DEC-2024","     37.17","04-MAR-2025"
"ARFIN","BE","     65.95","15-DEC-2025","     31.43","29-JUL-2025"
"ARHAM","ST","    161.00","28-NOV-2025","     70.80","06-AUG-2025"
"ARIES","EQ","    459.90","25-AUG-2025","    220.11","04-MAR-2025"
"ARIHANTACA","ST","    540.00","14-NOV-2025","    200.00","07-MAR-2025"
"ARIHANTCAP","EQ","    120.00","24-OCT-2025","     58.15","03-MAR-2025"
"ARIHANTSUP","EQ","    553.60","07-JAN-2025","    307.15","11-DEC-2025"
"ARISINFRA","EQ","    208.50","25-JUN-2025","    118.50","09-DEC-2025"
"ARISTO","SM","    152.90","16-DEC-2024","     84.55","05-MAR-2025"
"ARKADE","EQ","    213.69","18-JUL-2025","    130.56","03-MAR-2025"
"ARMANFIN","EQ","   1834.60","07-JUL-2025","   1109.95","18-MAR-2025"
"AROGRANITE","EQ","     51.47","17-DEC-2024","     27.61","08-DEC-2025"
"ARROWGREEN","EQ","    877.95","18-DEC-2024","    484.20","09-DEC-2025"
"ARSHIYA","BZ","      4.18","18-DEC-2024","      1.19","26-NOV-2025"
"ARSSBL","EQ","    794.85","18-NOV-2025","    431.00","30-SEP-2025"
"ARTEMISMED","EQ","    350.00","19-DEC-2024","    207.71","03-MAR-2025"
"ARTNIRMAN","EQ","     72.50","16-JUN-2025","     39.68","07-MAY-2025"
"ARUNAYA","SM","     46.50","19-MAY-2025","     17.55","08-DEC-2025"
"ARVEE","EQ","    236.00","08-DEC-2025","    126.54","18-FEB-2025"
"ARVIND","EQ","    450.00","18-DEC-2024","    274.80","28-AUG-2025"
"ARVINDFASN","EQ","    579.00","17-SEP-2025","    320.20","07-APR-2025"
"ARVINDPORT","SM","     99.70","17-DEC-2024","     41.25","09-DEC-2025"
"ARVSMART","EQ","    992.75","19-DEC-2024","    568.35","25-NOV-2025"
"ASAHIINDIA","EQ","   1074.00","01-DEC-2025","    576.80","17-MAR-2025"
"ASAHISONG","EQ","    491.95","12-MAY-2025","    243.95","25-NOV-2025"
"ASAL","EQ","    750.00","24-DEC-2024","    395.50","07-APR-2025"
"ASALCBR","EQ","   1496.00","03-FEB-2025","    915.10","09-DEC-2025"
"ASCOM","ST","    134.25","24-DEC-2024","     76.55","17-JUN-2025"
"ASHALOG","SM","    102.95","09-JAN-2025","     60.00","07-APR-2025"
"ASHAPURMIN","EQ","    766.00","15-DEC-2025","    301.60","11-MAR-2025"
"ASHIANA","EQ","    395.70","08-JAN-2025","    247.80","09-MAY-2025"
"ASHIMASYN","EQ","     37.24","17-DEC-2024","     16.25","08-DEC-2025"
"ASHOKA","EQ","    319.00","31-DEC-2024","    159.23","09-DEC-2025"
"ASHOKAMET","EQ","     24.80","30-DEC-2024","     14.86","09-DEC-2025"
"ASHOKLEY","EQ","    167.14","15-DEC-2025","     95.93","07-APR-2025"
"ASIANENE","EQ","    418.00","06-JAN-2025","    215.00","17-MAR-2025"
"ASIANHOTNR","EQ","    419.50","24-MAR-2025","    190.04","18-DEC-2024"
"ASIANPAINT","EQ","   2985.70","04-DEC-2025","   2124.75","05-MAR-2025"
"ASIANTILES","EQ","     74.44","16-DEC-2024","     39.15","07-APR-2025"
"ASKAUTOLTD","EQ","    578.50","24-SEP-2025","    333.30","03-MAR-2025"
"ASLIND","ST","    105.45","15-DEC-2025","     29.00","24-MAR-2025"
"ASMS","EQ","     24.74","08-JAN-2025","     11.00","08-DEC-2025"
"ASPINWALL","EQ","    345.90","07-FEB-2025","    218.00","09-DEC-2025"
"ASPIRE","SM","     47.45","03-JAN-2025","     16.30","09-DEC-2025"
"ASTEC","EQ","   1251.34","07-JAN-2025","    607.05","11-NOV-2025"
"ASTERDM","EQ","    732.20","23-OCT-2025","    387.10","04-MAR-2025"
"ASTRAL","EQ","   1864.50","17-DEC-2024","   1232.30","13-MAR-2025"
"ASTRAMICRO","EQ","   1195.90","05-JUN-2025","    584.20","03-MAR-2025"
"ASTRAZEN","EQ","  10691.00","13-JUN-2025","   6312.75","30-DEC-2024"
"ASTRON","EQ","     24.00","31-DEC-2024","      5.86","04-DEC-2025"
"ATALREAL","EQ","     25.88","31-OCT-2025","     11.15","28-FEB-2025"
"ATAM","EQ","    148.00","21-JAN-2025","     76.98","27-MAR-2025"
"ATCENERGY","SM","    115.35","29-APR-2025","     37.25","08-DEC-2025"
"ATGL","EQ","    798.00","23-SEP-2025","    532.60","03-MAR-2025"
"ATHERENERG","EQ","    790.00","21-OCT-2025","    288.15","07-MAY-2025"
"ATL","EQ","     40.17","17-DEC-2024","     19.82","07-APR-2025"
"ATLANTAA","BE","     73.39","07-OCT-2025","     27.26","01-APR-2025"
"ATLANTAELE","EQ","   1097.85","07-NOV-2025","    782.10","30-SEP-2025"
"ATLASCYCLE","EQ","    176.39","24-JAN-2025","     63.00","27-DEC-2024"
"ATLPP","EQ","-","-","-","-"
"ATMASTCO","SM","    300.80","21-JAN-2025","    147.05","15-DEC-2025"
"ATUL","EQ","   7788.00","07-JUL-2025","   4752.00","07-APR-2025"
"ATULAUTO","EQ","    633.75","16-DEC-2024","    412.65","17-MAR-2025"
"AUBANK","EQ","   1007.25","10-DEC-2025","    478.35","18-MAR-2025"
"AURIGROW","EQ","      1.41","19-DEC-2024","       .45","05-JUN-2025"
"AURIONPRO","EQ","   1923.75","20-DEC-2024","   1005.90","09-DEC-2025"
"AUROIMPEX","SM","     89.10","23-DEC-2024","     35.75","20-NOV-2025"
"AUROPHARMA","EQ","   1356.20","02-JAN-2025","   1010.00","07-APR-2025"
"AURUM","EQ","    264.80","02-JAN-2025","    144.40","07-APR-2025"
"AUSL","SM","     54.50","17-DEC-2024","     23.65","28-MAR-2025"
"AUSOMENT","EQ","    127.34","30-MAY-2025","     72.80","21-MAR-2025"
"AUTOAXLES","EQ","   1982.20","25-JUL-2025","   1520.00","07-APR-2025"
"AUTOBEES","EQ","    293.00","26-NOV-2025","    197.07","07-APR-2025"
"AUTOBEINAV","EQ","-","-","-","-"
"AUTOIETF","EQ","     28.96","08-DEC-2025","     19.72","07-APR-2025"
"AUTOIND","EQ","    124.60","16-DEC-2024","     62.81","25-NOV-2025"
"AVADHSUGAR","EQ","    584.25","19-MAY-2025","    341.55","09-DEC-2025"
"AVALON","EQ","   1318.00","07-OCT-2025","    598.00","29-JAN-2025"
"AVANTEL","EQ","    215.00","10-OCT-2025","     95.33","18-FEB-2025"
"AVANTIFEED","EQ","    964.20","24-MAR-2025","    572.00","13-JAN-2025"
"AVG","EQ","    424.90","16-DEC-2024","    156.81","08-DEC-2025"
"AVIANSH","SM","    122.00","20-OCT-2025","     93.80","07-MAR-2025"
"AVL","EQ","    598.70","04-NOV-2025","    327.60","19-JUN-2025"
"AVONMORE","EQ","     29.95","09-JAN-2025","     14.18","23-DEC-2024"
"AVPINFRA","SM","    264.30","07-JAN-2025","    118.45","01-APR-2025"
"AVROIND","EQ","    230.52","17-JAN-2025","    101.35","10-NOV-2025"
"AVSL","ST","    158.00","12-FEB-2025","    120.00","03-SEP-2025"
"AVTNPL","EQ","     83.80","13-AUG-2025","     51.41","07-APR-2025"
"AWFIS","EQ","    786.95","09-JAN-2025","    472.55","09-DEC-2025"
"AWHCL","EQ","    696.65","16-DEC-2024","    408.05","09-DEC-2025"
"AWL","EQ","    337.05","30-DEC-2024","    231.55","12-FEB-2025"
"AXISBANK","EQ","   1304.00","27-NOV-2025","    933.50","27-JAN-2025"
"AXISBNINAV","EQ","-","-","-","-"
"AXISBNKETF","EQ","    623.45","10-DEC-2025","    485.00","07-APR-2025"
"AXISBPINAV","EQ","-","-","-","-"
"AXISBPSETF","EQ","     14.50","27-OCT-2025","     12.00","16-JAN-2025"
"AXISCADES","BE","   1779.20","23-SEP-2025","    565.55","16-DEC-2024"
"AXISCEINAV","EQ","-","-","-","-"
"AXISCETF","EQ","    131.85","23-OCT-2025","    101.00","28-FEB-2025"
"AXISGOINAV","EQ","-","-","-","-"
"AXISGOLD","EQ","    112.07","15-DEC-2025","     63.00","23-DEC-2024"
"AXISHCETF","EQ","    156.13","17-OCT-2025","    127.43","04-MAR-2025"
"AXISHCINAV","EQ","-","-","-","-"
"AXISILINAV","EQ","-","-","-","-"
"AXISILVER","EQ","    196.13","15-DEC-2025","     85.51","31-DEC-2024"
"AXISNIFTY","EQ","    296.36","08-DEC-2025","    236.80","11-APR-2025"
"AXISNIINAV","EQ","-","-","-","-"
"AXISTECETF","EQ","    490.10","16-DEC-2024","    341.00","07-APR-2025"
"AXISTEINAV","EQ","-","-","-","-"
"AXISVAINAV","EQ","-","-","-","-"
"AXISVALUE","EQ","     32.10","14-NOV-2025","     22.84","21-AUG-2025"
"AXITA","BE","     12.50","01-JAN-2025","      7.99","19-NOV-2025"
"AXSENSEX","EQ","     91.35","02-DEC-2025","     74.00","07-APR-2025"
"AXSNSXINAV","EQ","-","-","-","-"
"AYMSYNTEX","EQ","    310.00","17-DEC-2024","    145.01","09-DEC-2025"
"AZAD","EQ","   1929.80","03-JAN-2025","   1159.45","07-APR-2025"
"BABAFP","SM","     63.50","22-JAN-2025","     29.55","20-NOV-2025"
"BAFNAPH","BE","    202.06","12-NOV-2025","     69.00","19-FEB-2025"
"BAGDIGITAL","SM","    137.00","28-OCT-2025","     95.75","10-OCT-2025"
"BAGFILMS","EQ","     12.15","20-DEC-2024","      5.31","28-MAR-2025"
"BAHETI","SM","    649.90","05-MAY-2025","    328.10","27-JAN-2025"
"BAIDFIN","EQ","     17.72","16-DEC-2024","      9.01","27-MAR-2025"
"BAJAJ-AUTO","EQ","   9490.00","08-SEP-2025","   7089.35","07-APR-2025"
"BAJAJCON","EQ","    310.00","06-NOV-2025","    151.00","07-APR-2025"
"BAJAJELEC","EQ","    825.95","17-DEC-2024","    458.15","09-DEC-2025"
"BAJAJFINSV","EQ","   2195.00","23-OCT-2025","   1551.65","24-DEC-2024"
"BAJAJHCARE","EQ","    745.00","19-MAR-2025","    399.45","09-DEC-2025"
"BAJAJHFL","EQ","    136.96","24-APR-2025","     92.10","09-DEC-2025"
