CONTRACT_D,PREVIOUS_S,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRIC,SETTLEMENT,NET_CHANGE,OI_NO_CON,TRADED_QUA,TRD_NO_CON,TRADED_VAL
FUTSTKBHEL27-JAN-2026,279.4500000,280.2500000,290.2500000,279.7500000,287.9000000,287.9000000,3.0200000,941.0000000,1640625.0000000,625.0000000,470771043.7500000
FUTSTKBHEL24-FEB-2026,280.9000000,283.6000000,291.7000000,283.6000000,289.6500000,289.6500000,3.1100000,180.0000000,183750.0000000,70.0000000,52996781.2500000
FUTSTKBHEL30-DEC-2025,277.7500000,278.0500000,288.8000000,278.0500000,286.5500000,286.5500000,3.1600000,22380.0000000,20942250.0000000,7978.0000000,5968705837.5000000
FUTSTKCOALINDIA24-FEB-2026,385.9500000,387.4500000,388.0000000,383.8000000,384.4500000,384.4500000,-0.3800000,313.0000000,110700.0000000,82.0000000,42670867.5000000
FUTSTKCOALINDIA27-JAN-2026,387.5000000,388.4000000,389.2000000,385.4000000,386.3500000,386.3500000,-0.2900000,4350.0000000,384750.0000000,285.0000000,149044657.5000000
FUTSTKCOALINDIA30-DEC-2025,385.2500000,385.8500000,387.1000000,383.0000000,384.0000000,384.0000000,-0.3200000,37317.0000000,2867400.0000000,2124.0000000,1103045917.5000000
FUTSTKFEDERALBNK27-JAN-2026,263.3000000,263.9000000,265.3500000,262.3500000,263.6000000,263.6000000,0.1100000,1151.0000000,2030000.0000000,406.0000000,535042500.0000000
FUTSTKFEDERALBNK30-DEC-2025,261.8500000,261.7000000,264.2500000,261.0500000,262.5500000,262.5500000,0.2600000,12123.0000000,9560000.0000000,1912.0000000,2507808500.0000000
FUTSTKFEDERALBNK24-FEB-2026,264.3000000,264.5500000,266.2500000,263.6000000,264.8000000,264.8000000,0.1800000,105.0000000,95000.0000000,19.0000000,25131750.0000000
FUTSTKGAIL30-DEC-2025,169.4400000,171.0000000,175.0000000,170.0200000,171.5100000,171.5100000,1.2200000,29279.0000000,24582600.0000000,7804.0000000,4231576062.0000000
FUTSTKGAIL27-JAN-2026,170.3900000,173.3800000,175.5000000,170.8500000,172.4500000,172.4500000,1.2000000,2272.0000000,1631700.0000000,518.0000000,281607291.0000000
FUTSTKGAIL24-FEB-2026,171.2500000,173.6000000,176.2700000,172.1400000,173.4300000,173.4300000,1.2700000,379.0000000,201600.0000000,64.0000000,34987239.0000000
FUTSTKHINDPETRO24-FEB-2026,452.1000000,455.0000000,466.2500000,454.2000000,465.6500000,465.6500000,2.9900000,100.0000000,48600.0000000,24.0000000,22320967.5000000
FUTSTKHINDPETRO30-DEC-2025,449.1000000,450.6000000,463.5000000,450.0000000,461.8500000,461.8500000,2.8300000,18592.0000000,6731100.0000000,3324.0000000,3081059977.5000000
FUTSTKHINDPETRO27-JAN-2026,452.0000000,454.4000000,466.2500000,453.1500000,464.5500000,464.5500000,2.7700000,395.0000000,463725.0000000,229.0000000,213128820.0000000
